Datum,Opis,Isplata,Uplata,Primalac/Platilac,Kategorija
02.06.2025,"Isplatasaračuna-
plaćanjeračuna",5888.7,0.0,A1,📱 Računi i usluge
02.06.2025,Kupovina,1448.0,0.0,"STAMPASISTEM
DOOBEOGRAD
688",❓ Ostalo
02.06.2025,Kupovina,1149.0,0.0,"DEXYCO924
RODACACAK
CACAK688",🛒 Marketi
02.06.2025,Kupovina,2183.87,0.0,"MERCATOR-S
DOONOVISAD
ČAČAK688",🛒 Marketi
02.06.2025,Kupovina,1439.95,0.0,"LILLYAPOTEKA54
CACAK688",🏥 Apoteke
03.06.2025,Kupovina,2354.0,0.0,"PRTRHANNYBS
CACAKCACAK688",❓ Ostalo
03.06.2025,Kupovina,6498.55,0.0,"540BSCACAKI
CACAK688",❓ Ostalo
03.06.2025,Kupovina,582.8,0.0,"JPPUTEVISRBIJE
ECOMMER
BEOGRAD688",❓ Ostalo
04.06.2025,Kupovina,526.4,0.0,"JPPUTEVISRBIJE
ECOMMER
BEOGRAD688",❓ Ostalo
04.06.2025,Kupovina,1410.11,0.0,"PAYSPOT
VUCKOVICM1
CACAK688",🏥 Apoteke
04.06.2025,Kupovina,5004.25,0.0,"705BSCACAKII
CACAK688",❓ Ostalo
04.06.2025,"Isplatagotovinena
ATM-u",7000.0,0.0,"BANCAINTESA
BEOGRADCACAK
688",💵 Gotovina (ATM)
04.06.2025,"Naknadazadostavu
debitnekarticena
adresukorisnika",60.0,0.0,"BANCAINTESAAD
BEOGRAD-
INTERNIRAČUN",📱 Računi i usluge
04.06.2025,"Neto(OPJ1-1101):
MAJ2025",0.0,3650.0,"FinTechSolutions
CEEDOO",❓ Ostalo
04.06.2025,"Netozarada:MAJ
2025/2",0.0,394517.62,"FinTechSolutions
CEEDOO",👗 Odeća i obuća
05.06.2025,Kupovina,2182.4,0.0,"AUKRSENKOVIC
UZICE688",🏥 Apoteke
05.06.2025,Kupovina,1099.0,0.0,"STAMPASISTEM
DOOBEOGRAD
688",❓ Ostalo
05.06.2025,Kupovina,898.0,0.0,"GINABISTRO
BEOGRAD688",❓ Ostalo
05.06.2025,Kupovina,400.0,0.0,"BWGALERIJA
LOBBYD P1
BEOGRAD SAVS
688",❓ Ostalo
06.06.2025,Kupovina,7485.83,0.0,"LIDL141Čačak
Čačak688",🛒 Marketi
06.06.2025,Kupovinanarate,5001.58,0.0,"GIGATRONDOO
BEOGRAD10/12
BEOGRAD688",❓ Ostalo
06.06.2025,"Bezgotovinskiprenos
uRSD",2566.63,0.0,"""VODOVOD""JKP
CACAK",📱 Računi i usluge
06.06.2025,"Bezgotovinskiprenos
uRSD",6437.0,0.0,"PRIH.OD
USL.BOR.DECE
PRED.UST.GRAD",📱 Računi i usluge
09.06.2025,Kupovina,239.04,0.0,"APPLE.COM/BILL
08000000888372",💻 Tech i pretplate
09.06.2025,Kupovina,9048.61,0.0,"TEMPOEXPRESS
005BEOGRAD688",🛒 Marketi
09.06.2025,Kupovina,6408.92,0.0,"LILLYAPOTEKA
CACAKRPCACAK
688",🏥 Apoteke
10.06.2025,Kupovina,600.0,0.0,"MEDILABM-CA
CACAK688",🩺 Zdravstveni pregledi i analize
10.06.2025,Kupovina,1448.0,0.0,"STAMPASISTEM
DOOBEOGRAD
688",❓ Ostalo
10.06.2025,Kupovina,4894.31,0.0,"PRODAJA
MESOVITEROBE
KMNCACAK688",🛒 Marketi
10.06.2025,Kupovina,5243.83,0.0,"932SSGSokolici2
Sokolici688",❓ Ostalo
10.06.2025,Kupovina,582.8,0.0,"JPPUTEVISRBIJE
ECOMMER
BEOGRAD688",❓ Ostalo
10.06.2025,Kupovina,5916.65,0.0,"LIDL141Čačak
Čačak688",🛒 Marketi
10.06.2025,"Bezgotovinskiprenos
uRSD",1030.76,0.0,"JKPKOMUNALAC
ČAČAK",📱 Računi i usluge
11.06.2025,Kupovina,1114.0,0.0,"STKRJELENA
CACAK688",🛒 Marketi
11.06.2025,Kupovina,526.4,0.0,"JPPUTEVISRBIJE
ECOMMER
BEOGRAD688",❓ Ostalo
11.06.2025,Kupovina,3400.0,0.0,"Prodajnomesto2
Cacak688",🛒 Marketi
12.06.2025,"Bezgotovinskiprenos
uRSD",2754.0,0.0,"JPSRBIJAGAS
NOVISAD",📱 Računi i usluge
12.06.2025,"Bezgotovinskiprenos
uRSD",12000.0,0.0,G.O.S.-LIFE,📱 Računi i usluge
12.06.2025,Kupovina,2078.18,0.0,"PRODAJA
MESOVITEROBE
KMNCACAK688",🛒 Marketi
12.06.2025,Kupovina,4455.0,0.0,"TAKKOFASHION
5511CACAK688",👗 Odeća i obuća
12.06.2025,Kupovina,359.23,0.0,"APPLE.COM/BILL
08000000888372",💻 Tech i pretplate
12.06.2025,Kupovina,799.96,0.0,"MERCATOR-S
DOONOVISAD
ČAČAK688",🛒 Marketi
12.06.2025,Kupovina,5076.91,0.0,"LILLYAPOTEKA54
CACAK688",🏥 Apoteke
13.06.2025,Kupovina,8350.11,0.0,"BKG*HOTELAT
BOOKING.C
(888)850-3958528",❓ Ostalo
13.06.2025,Kupovina,1439.1,0.0,"KNJIZARAVULKAN
CACAKCaCak688",👗 Odeća i obuća
13.06.2025,Kupovina,999.0,0.0,"STAMPASISTEM
DOOBEOGRAD
688",❓ Ostalo
16.06.2025,Kupovina,2814.76,0.0,"OGRANAK
APOTEKA
VIDAKOVICACAK
688",🏥 Apoteke
16.06.2025,Kupovina,1448.0,0.0,"STAMPASISTEM
DOOBEOGRAD
688",❓ Ostalo
16.06.2025,Kupovina,3137.84,0.0,"OGRANAK
APOTEKA
VIDAKOVICACAK
688",🏥 Apoteke
16.06.2025,Kupovina,1627.87,0.0,"MERCATOR-S
DOONOVISAD
ČAČAK688",🛒 Marketi
16.06.2025,Kupovina,5000.8,0.0,"NIS540B.S.
CACAK1CACAK
688",⛽ Gorivo
17.06.2025,Kupovina,2113.11,0.0,"PRODAJA
MESOVITEROBE
KMNCACAK688",🛒 Marketi
17.06.2025,Kupovina,6749.0,0.0,"JYSKY105Cacak
CACAK688",❓ Ostalo
17.06.2025,Kupovina,800.0,0.0,"JYSKY105Cacak
CACAK688",❓ Ostalo
18.06.2025,Kupovina,480.95,0.0,"MERCATOR-S
DOONOVISAD
ČAČAK688",🛒 Marketi
18.06.2025,Kupovina,1535.0,0.0,"LILLYAPOTEKA
CACAKRPCACAK
688",🏥 Apoteke
18.06.2025,Kupovina,1232.99,0.0,"LILLYAPOTEKA
CACAKRPCACAK
688",🏥 Apoteke
18.06.2025,Kupovina,3645.0,0.0,"KIDSBEBA09
CACAK688",👗 Odeća i obuća
18.06.2025,Kupovina,840.0,0.0,KOFI2CACAK688,🍔 Restorani i dostava
18.06.2025,Kupovina,1579.97,0.0,"LILLYAPOTEKA
CACAKRPCACAK
688",🏥 Apoteke
18.06.2025,"Bezgotovinskiprenos
uRSD",4128.0,0.0,"A1SRBIJAD.O.O.
BEOGRAD",📱 Računi i usluge
