Datum,Opis,Isplata,Uplata,Primalac/Platilac,Kategorija
01.07.2025,"Bezgotovinskiprenos
uRSD",3545.0,0.0,"A1SRBIJAD.O.O.
BEOGRAD",📱 Računi i usluge
01.07.2025,"Isplatasaračuna-
plaćanjeračuna",5387.38,0.0,A1,📱 Računi i usluge
01.07.2025,Kupovina,2280.0,0.0,"Prodajnomesto1
Cacak688",🛒 Marketi
01.07.2025,Kupovina,4424.44,0.0,"LILLYAPOTEKA
CACAKRPCACAK
688",🏥 Apoteke
02.07.2025,Kupovina,357.2,0.0,"JPPUTEVISRBIJE
ECOMMER
BEOGRAD688",❓ Ostalo
02.07.2025,Kupovina,2201.88,0.0,"TEMPOEXPRESS
005BEOGRAD688",🛒 Marketi
02.07.2025,Kupovina,659.94,0.0,"MERCATOR-S
DOONOVISAD
ČAČAK688",🛒 Marketi
03.07.2025,Kupovina,100.0,0.0,"475BSNAISNIS
688",⛽ Gorivo
03.07.2025,Kupovina,506.85,0.0,"MOON001DOOEL
KUMANOVO807",❓ Ostalo
03.07.2025,Kupovina,3608.04,0.0,"JAVORDJOKOS.N
GEVGELIJA807",❓ Ostalo
03.07.2025,Kupovina,4449.99,0.0,"BS038GEVGELIJA
3GEVGELIJA807",❓ Ostalo
04.07.2025,Kupovina,1325.4,0.0,"JPPUTEVISRBIJE
ECOMMER
BEOGRAD688",❓ Ostalo
04.07.2025,Kupovina,743.46,0.0,"JPDRZAVNI
PATISTASKOPJE
807",❓ Ostalo
04.07.2025,Kupovina,3749.72,0.0,"LIDL141Čačak
Čačak688",🛒 Marketi
04.07.2025,"Netozarada:JUN
2025/2",0.0,392884.27,"FinTechSolutions
CEEDOO",👗 Odeća i obuća
04.07.2025,"Neto(OPJ1-1101):
JUN2025",0.0,3650.0,"FinTechSolutions
CEEDOO",❓ Ostalo
04.07.2025,"Neoporezivaprimanja
zaposlenih,socijalnai
drugadavanjaizuzeta
odoporezivanja",0.0,7548.16,"FinTechSolutions
CEEDOOBeograd",❓ Ostalo
07.07.2025,Kupovina,1406.0,0.0,"RADISAM032TR
CACAK688",❓ Ostalo
